2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh077: 2 triangles, 4 vertices (merged 2 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh077.obj" (took 0 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh055.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh055: 128 triangles, 256 vertices (merged 128 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh055.obj" (took 2 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh118.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh118: 1680 triangles, 898 vertices (merged 4142 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh118.obj" (took 10 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh064.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh064: 512 triangles, 272 vertices (merged 1264 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh064.obj" (took 4 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh052.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh052: 128 triangles, 72 vertices (merged 312 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh052.obj" (took 2 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh112.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh112: 12 triangles, 12 vertices (merged 24 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh112.obj" (took 0 ms)
2025-03-25 22:17:57 INFO  main [PLYLoader] Loading geometry from "Disco.ply" ..
2025-03-25 22:17:57 INFO  main [PLYLoader] "Disco": Loaded 12736 triangles, 6455 vertices (275.3 KiB in 14 ms).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh127.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh127: 128 triangles, 256 vertices (merged 128 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh127.obj" (took 2 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh129.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh129: 2 triangles, 4 vertices (merged 2 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh129.obj" (took 0 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh132.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh132: 28 triangles, 46 vertices (merged 38 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh132.obj" (took 0 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh140.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh140: 28 triangles, 52 vertices (merged 32 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh140.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh156.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh156: 28 triangles, 46 vertices (merged 38 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh156.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh135.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh135: 28 triangles, 44 vertices (merged 40 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh135.obj" (took 0 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh175.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh175: 28 triangles, 48 vertices (merged 36 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh175.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh136.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh136: 28 triangles, 48 vertices (merged 36 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh136.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh078.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh078: 28 triangles, 46 vertices (merged 38 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh078.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh141.obj" ..
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Mesh141: 28 triangles, 44 vertices (merged 40 vertices).
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Done with "Mesh141.obj" (took 1 ms)
2025-03-25 22:17:57 INFO  main [WavefrontOBJ] Loading geometry from "Mesh147.obj" ..
